data,LST_Celsius
2002-07-07,38.76625628140706
2002-07-13,39.417889447236206
2002-07-18,41.55919597989953
2002-07-20,39.9717587939699
2002-08-10,45.5246231155779
2002-08-16,38.58248743718597
2002-08-30,41.27668341708545
2002-09-02,50.279371859296525
2002-09-08,39.15135678391963
2002-09-14,46.44253768844224
2002-09-15,47.204773869346766
2002-09-16,46.31173366834174
2002-09-20,50.48623115577891
2002-09-22,48.47623115577892
2002-09-26,40.665678391959815
2002-10-01,48.96067839195983
2002-10-11,48.567788944723645
2002-10-31,51.22012562814073
2002-11-01,45.52567839195984
2002-11-02,47.79831658291461
2002-11-03,49.57552763819098
2002-11-07,52.61886934673371
2002-11-09,51.56766331658294
2002-11-10,49.176281407035205
2002-11-11,47.88243718592968
2002-11-13,44.900276381909585
2002-11-21,51.87040201005028
2002-12-05,50.33841708542716
2002-12-06,47.907638190954806
2002-12-07,44.658316582914615
2002-12-12,47.67909547738696
2002-12-29,39.87221105527642
2003-01-03,47.710577889447265
2003-01-04,47.46434673366837
2003-01-05,47.37979899497488
2003-01-06,49.58326633165833
2003-01-14,43.875276381909586
2003-01-16,43.07974874371861
2003-02-08,42.383567839196
2003-03-12,44.746959798995015
2003-03-28,39.12138190954777
2003-04-07,40.40829145728646
2003-04-09,42.19515075376887
2003-04-13,37.856130653266376
2003-05-09,41.73623115577894
2003-05-14,36.56515075376888
2003-05-23,42.113693467336695
2003-05-24,37.77429648241211
2003-05-30,37.61673366834173
2003-06-13,38.10959798994978
2003-06-23,39.031959798995
2003-06-26,40.95404522613069
2003-06-28,40.237236180904546
2003-07-01,39.190577889447255
2003-07-09,39.26829145728646
2003-08-11,45.36768844221108
2003-08-18,45.32555276381913
2003-08-19,39.27000000000003
2003-08-25,45.35371859296484
2003-08-26,45.128115577889474
2003-09-03,45.0345477386935
2003-09-09,40.64221105527642
2003-09-27,46.334321608040234
2003-09-28,49.88836683417087
2003-09-29,41.60203517587943
2003-10-15,45.16092964824124
2003-10-20,46.17949748743722
2003-10-21,44.79462311557793
2003-10-22,44.27489949748747
2003-11-14,49.05341708542717
2003-11-15,51.905728643216094
2003-11-19,52.051281407035205
2003-12-06,47.73766331658293
2003-12-09,46.826683417085455
2003-12-24,51.425452261306546
2003-12-31,47.82346733668344
2004-02-09,35.96761306532665
2004-02-11,32.682512562814104
2004-03-29,39.56515075376888
2004-04-28,33.0202261306533
2004-04-29,35.764648241206054
2004-05-02,38.76811557788946
2004-07-10,34.07027638190958
2004-07-11,35.42097989949751
2004-07-20,33.68693467336686
2004-07-21,38.237135678392
2004-07-30,35.60846733668343
2004-08-09,36.61251256281409
2004-08-13,39.56344221105531
2004-08-20,38.87155778894474
2004-08-24,45.90439698492465
2004-08-26,41.90178391959802
2004-08-28,41.63203517587944
2004-08-31,45.81110552763821
2004-09-06,40.2649246231156
2004-09-15,41.158517587939734
2004-09-16,47.965603015075416
2004-09-20,40.81206030150756
2004-10-05,45.15783919597993
2004-10-06,44.707060301507575
2004-10-11,47.81469849246235
2004-10-22,43.90791457286435
2004-10-29,49.083567839196014
2004-11-09,45.58464824120606
2004-11-12,48.596507537688474
2004-11-16,46.44321608040204
2004-11-17,52.78444723618095
2004-11-19,52.617864321608074
2004-12-01,50.30459798994979
2004-12-14,51.71298994974878
2004-12-16,49.10168341708545
2004-12-18,45.20557788944726
2004-12-21,50.54288944723621
2005-01-03,47.33610552763822
2005-01-06,54.14891959798997
2005-01-11,50.50324120603018
2005-01-12,45.89655778894475
2005-01-20,52.2507286432161
2005-01-31,51.0699246231156
2005-02-21,47.46605527638194
2005-03-06,49.55695979899499
2005-04-12,42.15062814070355
2005-05-18,30.797211055276403
2005-05-28,37.377060301507576
2005-06-03,28.97540201005027
2005-07-12,35.321683417085445
2005-07-16,29.29487437185931
2005-07-29,37.3125628140704
2005-08-01,33.891884422110586
2005-08-13,41.19271356783921
2005-08-16,41.65974874371862
2005-08-27,41.22103015075379
2005-08-31,38.64648241206034
2005-09-07,40.7341206030151
2005-09-12,44.715628140703544
2005-09-16,43.37296482412064
2005-09-17,48.94939698492466
2005-09-18,41.86316582914576
2005-09-19,47.263015075376906
2005-09-21,49.45243718592969
2005-09-23,43.68070351758796
2005-09-24,45.055954773869374
2005-09-25,42.3561557788945
2005-10-02,46.73743718592968
2005-10-03,48.98447236180909
2005-10-10,48.96376884422114
2005-10-14,47.6473366834171
2005-10-15,45.59783919597992
2005-10-16,47.07015075376888
2005-10-18,45.92665829145731
2005-10-20,42.709271356783944
2005-10-24,47.46082914572868
2005-10-27,43.793517587939725
2005-10-30,52.84402010050256
2005-11-01,49.61623115577892
2005-11-02,50.34138190954776
2005-11-05,44.679447236180934
2005-11-17,48.08537688442213
2005-11-18,47.084673366834195
2005-11-21,43.995175879397
2005-12-10,44.20273869346735
2005-12-13,44.16005025125629
2005-12-21,39.916080402010074
2006-01-04,47.23771356783922
2006-01-05,45.87334170854276
2006-01-06,44.310376884422155
2006-02-07,43.00316582914575
2006-02-20,44.32087939698496
2006-03-14,44.909572864321625
2006-05-14,30.042814070351795
2006-06-01,29.114623115577935
2006-06-29,33.065326633165846
2006-08-20,38.951557788944754
2006-08-21,46.89316582914578
2006-08-24,40.53866834170855
2006-08-26,40.85907035175882
2006-08-27,38.13296482412063
2006-08-28,47.83567839195984
2006-09-01,43.394120603015104
2006-09-03,44.46206030150758
2006-09-08,44.24484924623118
2006-09-24,49.615402010050275
2006-09-26,45.54097989949753
2006-10-01,49.47025125628146
2006-10-13,49.97748743718595
2006-10-14,44.61630653266335
