Data Medicao,TX,LST_Celsius
2007-08-24,25.9,39.690000000000055
2007-08-26,27.15,41.950000000000045
2007-08-27,26.5,35.950000000000045
2007-08-28,27.65,46.09000000000003
2007-08-29,25.9,44.370000000000005
2007-08-31,25.7,41.910000000000025
2007-09-06,26.25,32.110000000000014
2007-09-07,25.65,39.83000000000004
2007-09-11,25.75,40.99000000000001
2007-09-13,25.95,43.910000000000025
2007-09-16,26.0,41.650000000000034
2007-09-20,27.75,47.670000000000016
2007-09-21,27.3,44.93000000000001
2007-09-22,28.05,44.170000000000016
2007-09-23,26.8,44.51000000000005
2007-09-24,27.9,35.89000000000004
2007-09-25,26.85,49.75000000000006
2007-09-27,27.3,38.690000000000055
2007-09-29,28.05,41.71000000000003
2007-09-30,27.7,48.03000000000003
2007-10-01,27.8,39.690000000000055
2007-10-02,27.8,48.71000000000003
2007-10-05,27.15,42.09000000000003
2007-10-11,28.4,46.55000000000001
2007-10-13,28.5,48.150000000000034
2007-10-14,28.0,46.150000000000034
2007-10-15,27.45,48.21000000000003
2007-10-16,28.5,49.27000000000004
2007-10-17,27.45,47.01000000000005
2007-10-18,29.6,54.150000000000034
2007-10-20,29.0,50.23000000000002
2007-10-22,29.65,49.05000000000001
2007-10-25,27.75,47.43000000000001
2007-10-27,28.7,50.170000000000016
2007-10-29,29.7,48.450000000000045
2007-10-30,29.45,46.53000000000003
2007-11-01,29.85,42.99000000000001
2007-11-02,30.05,45.73000000000002
2007-11-03,29.75,52.370000000000005
2007-11-05,28.5,44.27000000000004
2007-11-06,28.65,41.47000000000003
2007-11-07,29.75,47.79000000000002
2007-11-08,29.9,48.49000000000001
2007-11-09,28.6,46.49000000000001
2007-11-11,28.75,42.21000000000003
2007-11-12,29.3,51.93000000000001
2007-11-14,27.3,42.01000000000005
2007-11-15,29.1,43.81
2007-11-21,30.15,50.97000000000003
2007-11-22,28.6,44.05000000000001
2007-11-25,29.8,49.33000000000004
2007-11-26,28.85,50.370000000000005
2007-11-27,29.2,44.690000000000055
2007-11-30,29.05,48.650000000000034
2007-12-01,28.4,47.01000000000005
2007-12-03,29.4,47.410000000000025
2007-12-04,29.95,41.690000000000055
2007-12-08,29.5,42.870000000000005
2007-12-09,29.3,46.33000000000004
2007-12-11,29.55,42.99000000000001
2007-12-14,29.05,50.23000000000002
2007-12-18,29.65,48.370000000000005
2007-12-19,30.0,44.55000000000001
2007-12-20,29.9,47.51000000000005
2007-12-23,28.35,47.23000000000002
2007-12-24,29.15,48.25000000000006
2007-12-25,29.1,47.47000000000003
2008-01-02,29.45,50.77000000000004
2008-01-03,29.65,49.57000000000005
2008-01-04,29.65,47.670000000000016
2008-01-05,28.95,45.150000000000034
2008-01-06,29.7,52.85000000000002
2008-01-08,30.7,50.410000000000025
2008-01-09,29.7,49.09000000000003
2008-01-13,28.55,44.410000000000025
2008-01-19,29.1,48.79000000000002
2008-01-22,30.2,42.33000000000004
2008-01-31,27.45,45.93000000000001
2008-02-02,28.5,48.97000000000003
2008-02-03,29.1,49.09000000000003
2008-02-04,30.3,50.450000000000045
2008-02-05,28.9,50.47000000000003
2008-02-06,29.25,47.89000000000004
2008-02-07,29.3,53.13000000000005
2008-02-11,29.6,52.110000000000014
2008-02-12,26.95,47.03000000000003
2008-02-18,27.3,40.63000000000005
2008-02-20,30.05,43.83000000000004
2008-03-01,27.3,36.93000000000001
2008-03-06,28.85,40.59000000000003
2008-03-07,28.7,44.97000000000003
2008-03-10,27.75,43.43000000000001
2008-03-14,27.6,38.170000000000016
2008-03-17,25.8,38.75000000000006
2008-04-06,27.1,35.07000000000005
2008-04-08,26.3,31.230000000000015
2008-04-10,26.25,27.670000000000016
2008-04-15,27.0,35.53000000000003
2008-04-16,27.05,33.450000000000045
2008-04-18,26.8,36.09000000000003
2008-04-19,27.5,25.410000000000025
2008-04-26,27.25,32.83000000000004
2008-04-27,27.1,37.09000000000003
2008-05-01,27.3,36.35000000000002
2008-05-03,26.75,30.910000000000025
2008-05-04,28.25,36.89000000000004
2008-05-06,26.1,36.370000000000005
2008-05-08,26.4,28.05000000000001
2008-05-18,24.3,28.31
2008-05-21,25.4,23.77000000000004
2008-05-24,25.75,26.79000000000002
2008-05-25,25.15,28.890000000000043
2008-05-28,24.85,28.49000000000001
2008-06-02,24.2,23.950000000000045
2008-06-07,25.5,30.590000000000032
2008-06-09,25.6,24.950000000000045
2008-06-11,25.4,29.49000000000001
2008-06-13,24.7,24.610000000000017
2008-06-14,24.4,32.410000000000025
2008-06-19,24.85,30.610000000000017
2008-06-20,22.5,25.670000000000016
2008-06-22,25.5,28.510000000000048
2008-06-23,26.25,35.39000000000004
2008-06-27,24.9,31.99000000000001
2008-06-28,25.15,26.190000000000055
2008-07-05,25.95,34.01000000000005
2008-07-11,25.8,21.79000000000002
2008-07-14,24.3,35.35000000000002
2008-07-20,24.55,26.29000000000002
2008-07-25,26.25,35.79000000000002
2008-07-28,24.7,29.170000000000016
2008-07-29,25.35,35.650000000000034
2008-07-31,25.9,28.710000000000036
