system:index,LST_Celsius,QC_Day,data,timestamp_utc,.geo
2002_07_07,38.76625628140706,0.0,2002-07-07,1.026E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_09,32.60238636363639,57.71859296482412,2002-07-09,1.0261728E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_11,27.92578767123292,48.22110552763818,2002-07-11,1.0263456E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_13,39.417889447236206,0.0,2002-07-13,1.0265184E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_14,37.94130208333336,32.391959798994975,2002-07-14,1.0266048E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_15,29.795360443622933,44.81783919597989,2002-07-15,1.0266912E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_16,37.99806532663319,65.0,2002-07-16,1.0267776E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_18,41.55919597989953,0.0,2002-07-18,1.0269504E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_20,39.9717587939699,0.0,2002-07-20,1.0271232E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_21,37.55964824120606,65.0,2002-07-21,1.0272096E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_23,39.66963541666668,32.391959798994975,2002-07-23,1.0273824E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_25,35.03826923076926,10.231155778894472,2002-07-25,1.0275552E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_27,28.476746987951838,21.7072864321608,2002-07-27,1.027728E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_29,33.53000000000003,9.28140703517588,2002-07-29,1.0279008E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_08_08,40.248341708542746,65.0,2002-08-08,1.0287648E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_08_10,45.5246231155779,0.0,2002-08-10,1.0289376E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_08_12,33.96608040201007,65.0,2002-08-12,1.0291104E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_08_15,31.216953125000032,22.26130653266332,2002-08-15,1.0293696E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_08_16,38.58248743718597,0.0,2002-08-16,1.029456E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
