system:index,LST_Celsius,data,timestamp_utc,.geo
2002_10_08,39.96085427135681,2002-10-08,1034035200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_10_10,35.061213517665166,2002-10-10,1034208000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_10_11,48.567788944723645,2002-10-11,1034294400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_10_12,41.75851758793973,2002-10-12,1034380800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_10_13,48.81075376884424,2002-10-13,1034467200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_10_15,39.16212264150946,2002-10-15,1034640000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_10_17,42.77047738693471,2002-10-17,1034812800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_10_18,45.62406040268458,2002-10-18,1034899200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_10_20,40.610000000000014,2002-10-20,1035072000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_10_22,43.57243718592967,2002-10-22,1035244800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_10_23,44.1789949748744,2002-10-23,1035331200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_10_24,46.95638190954775,2002-10-24,1035417600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_10_26,46.76268844221108,2002-10-26,1035590400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_10_27,51.201256281407055,2002-10-27,1035676800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_10_29,45.29231155778897,2002-10-29,1035849600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_10_31,51.22012562814073,2002-10-31,1036022400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_11_01,45.52567839195984,2002-11-01,1036108800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_11_02,47.79831658291461,2002-11-02,1036195200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_11_03,49.57552763819098,2002-11-03,1036281600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_11_04,42.94354248366017,2002-11-04,1036368000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_11_05,53.42072864321611,2002-11-05,1036454400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_11_07,52.61886934673371,2002-11-07,1036627200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_11_09,51.56766331658294,2002-11-09,1036800000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_11_10,49.176281407035205,2002-11-10,1036886400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_11_11,47.88243718592968,2002-11-11,1036972800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_11_12,48.51931623931627,2002-11-12,1037059200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_11_13,44.900276381909585,2002-11-13,1037145600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_11_14,50.61753768844225,2002-11-14,1037232000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_11_16,51.30761306532667,2002-11-16,1037404800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_11_17,41.08771356783923,2002-11-17,1037491200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_11_18,45.27364321608045,2002-11-18,1037577600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_11_19,47.024578146611354,2002-11-19,1037664000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_11_21,51.87040201005028,2002-11-21,1037836800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_11_23,38.966551724137936,2002-11-23,1038009600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_11_25,38.288636363636385,2002-11-25,1038182400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_11_28,43.92731155778896,2002-11-28,1038441600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_12_02,46.92861809045228,2002-12-02,1038787200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_12_03,43.8402348993289,2002-12-03,1038873600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_12_04,46.04203517587943,2002-12-04,1038960000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_12_05,50.33841708542716,2002-12-05,1039046400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_12_06,47.907638190954806,2002-12-06,1039132800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_12_07,44.658316582914615,2002-12-07,1039219200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_12_12,47.67909547738696,2002-12-12,1039651200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_12_13,36.98145631067963,2002-12-13,1039737600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_12_14,41.89040201005029,2002-12-14,1039824000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_12_16,42.831959798995015,2002-12-16,1039996800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_12_18,47.17140703517591,2002-12-18,1040169600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_12_19,42.435000000000024,2002-12-19,1040256000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_12_21,50.176336283185854,2002-12-21,1040428800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_12_22,40.80246231155781,2002-12-22,1040515200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_12_23,53.149095477386965,2002-12-23,1040601600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_12_29,39.87221105527642,2002-12-29,1041120000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_12_31,37.84520100502515,2002-12-31,1041292800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_01,47.36726130653268,2003-01-01,1041379200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_03,47.710577889447265,2003-01-03,1041552000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_04,47.46434673366837,2003-01-04,1041638400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_05,47.37979899497488,2003-01-05,1041724800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_06,49.58326633165833,2003-01-06,1041811200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_08,51.01243718592968,2003-01-08,1041984000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_10,40.82792553191493,2003-01-10,1042156800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_12,47.95771356783922,2003-01-12,1042329600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_13,48.93982412060305,2003-01-13,1042416000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_14,43.875276381909586,2003-01-14,1042502400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_15,49.115502512562834,2003-01-15,1042588800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_16,43.07974874371861,2003-01-16,1042675200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_17,49.46638190954776,2003-01-17,1042761600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_24,41.8191206030151,2003-01-24,1043366400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_26,42.822688442211096,2003-01-26,1043539200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_02,37.74163316582917,2003-02-02,1044144000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_06,39.31944723618092,2003-02-06,1044489600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_07,40.910000000000025,2003-02-07,1044576000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_08,42.383567839196,2003-02-08,1044662400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_14,39.04283919597993,2003-02-14,1045180800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_18,46.837010050251294,2003-02-18,1045526400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_22,36.950000000000045,2003-02-22,1045872000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_23,37.47402010050254,2003-02-23,1045958400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_02,39.12120622568095,2003-03-02,1046563200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_08,44.35188034188037,2003-03-08,1047081600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_09,44.6326300578035,2003-03-09,1047168000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_10,43.36382113821142,2003-03-10,1047254400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_11,47.25179190751445,2003-03-11,1047340800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_12,44.746959798995015,2003-03-12,1047427200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_13,49.30934673366837,2003-03-13,1047513600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_15,37.380376884422134,2003-03-15,1047686400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_17,36.22100502512565,2003-03-17,1047859200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_22,36.79353658536589,2003-03-22,1048291200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_24,38.13514767932491,2003-03-24,1048464000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_26,32.99000000000001,2003-03-26,1048636800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_28,39.12138190954777,2003-03-28,1048809600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_02,35.23341269841273,2003-04-02,1049241600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_03,39.33399497487441,2003-04-03,1049328000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_05,34.533065326633185,2003-04-05,1049500800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_07,40.40829145728646,2003-04-07,1049673600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_09,42.19515075376887,2003-04-09,1049846400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_12,35.09727810650891,2003-04-12,1050105600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_13,37.856130653266376,2003-04-13,1050192000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_14,44.285150753768875,2003-04-14,1050278400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_16,46.52090452261309,2003-04-16,1050451200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_19,35.807805907173034,2003-04-19,1050710400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_20,37.69542713567843,2003-04-20,1050796800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_21,39.01188539741223,2003-04-21,1050883200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_25,37.620945558739294,2003-04-25,1051228800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_29,35.992386934673405,2003-04-29,1051574400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_30,38.40816582914576,2003-04-30,1051660800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_05_06,30.110000000000017,2003-05-06,1052179200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_05_07,33.95201005025128,2003-05-07,1052265600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_05_08,28.858444444444473,2003-05-08,1052352000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_05_09,41.73623115577894,2003-05-09,1052438400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_05_14,36.56515075376888,2003-05-14,1052870400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_05_18,33.73809045226136,2003-05-18,1053216000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_05_21,39.392295988935025,2003-05-21,1053475200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_05_22,34.440527638190986,2003-05-22,1053561600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_05_23,42.113693467336695,2003-05-23,1053648000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_05_24,37.77429648241211,2003-05-24,1053734400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_05_25,39.65819095477389,2003-05-25,1053820800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_05_27,35.72326589595379,2003-05-27,1053993600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_05_28,38.66315068493152,2003-05-28,1054080000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_05_30,37.61673366834173,2003-05-30,1054252800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_06_05,27.939773869346755,2003-06-05,1054771200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_06_06,28.8581715575621,2003-06-06,1054857600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_06_07,28.970000000000027,2003-06-07,1054944000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_06_08,30.15000000000003,2003-06-08,1055030400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_06_12,38.20741206030153,2003-06-12,1055376000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_06_13,38.10959798994978,2003-06-13,1055462400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_06_17,31.694556213017787,2003-06-17,1055808000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_06_21,35.92574370709384,2003-06-21,1056153600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_06_22,33.66228323699423,2003-06-22,1056240000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_06_23,39.031959798995,2003-06-23,1056326400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_06_24,30.87111111111116,2003-06-24,1056412800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_06_25,29.960581395348857,2003-06-25,1056499200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_06_26,40.95404522613069,2003-06-26,1056585600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_06_28,40.237236180904546,2003-06-28,1056758400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_07_01,39.190577889447255,2003-07-01,1057017600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_07_03,32.606136363636395,2003-07-03,1057190400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_07_05,43.06057788944726,2003-07-05,1057363200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_07_09,39.26829145728646,2003-07-09,1057708800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_07_10,36.97000000000002,2003-07-10,1057795200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_07_14,34.301934673366844,2003-07-14,1058140800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_07_15,34.632537688442234,2003-07-15,1058227200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_07_18,34.9241708542714,2003-07-18,1058486400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_07_19,36.35113207547173,2003-07-19,1058572800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_07_21,38.86195849546048,2003-07-21,1058745600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_07_25,32.950000000000045,2003-07-25,1059091200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_07_28,41.02052763819097,2003-07-28,1059350400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_07_30,43.876030150753785,2003-07-30,1059523200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_07_31,40.80864321608042,2003-07-31,1059609600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_08_01,38.09497487437188,2003-08-01,1059696000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_08_03,35.553264177040134,2003-08-03,1059868800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_08_04,33.62191919191922,2003-08-04,1059955200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_08_06,42.78962264150946,2003-08-06,1060128000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_08_08,37.55000000000001,2003-08-08,1060300800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_08_09,40.730376884422135,2003-08-09,1060387200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_08_11,45.36768844221108,2003-08-11,1060560000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_08_13,42.24080402010053,2003-08-13,1060732800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_08_16,38.90180904522615,2003-08-16,1060992000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_08_17,42.43653266331662,2003-08-17,1061078400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_08_18,45.32555276381913,2003-08-18,1061164800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_08_19,39.27000000000003,2003-08-19,1061251200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_08_20,38.613442211055315,2003-08-20,1061337600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_08_22,47.420075376884455,2003-08-22,1061510400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_08_24,40.48574712643682,2003-08-24,1061683200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_08_25,45.35371859296484,2003-08-25,1061769600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_08_26,45.128115577889474,2003-08-26,1061856000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_08_27,39.98608832807573,2003-08-27,1061942400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_08_29,46.50992156862748,2003-08-29,1062115200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
