system:index,LST_Celsius,QC_Day,data,timestamp_utc,.geo
2010_04_26,33.56494974874376,66.84924623115577,2010-04-26,1.27224E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_28,34.36625628140707,65.0,2010-04-28,1.2724128E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_30,36.61992462311561,65.0,2010-04-30,1.2725856E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_01,39.6470854271357,0.0,2010-05-01,1.272672E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_02,29.805000000000003,33.65829145728644,2010-05-02,1.2727584E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_03,38.190000000000055,25.1105527638191,2010-05-03,1.2728448E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_07,39.291733668341735,0.0,2010-05-07,1.2731904E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_09,37.30763819095481,0.0,2010-05-09,1.2733632E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_10,36.410000000000025,3.9786432160804015,2010-05-10,1.2734496E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_11,33.81025125628145,129.0,2010-05-11,1.273536E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_12,38.01402010050255,65.0,2010-05-12,1.2736224E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_14,35.984899497487476,65.0,2010-05-14,1.2737952E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_15,36.97620603015078,65.0,2010-05-15,1.2738816E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_16,32.05000000000001,10.231155778894472,2010-05-16,1.273968E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_17,39.05345991561187,20.757537688442213,2010-05-17,1.2740544E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_18,33.99000000000001,10.231155778894472,2010-05-18,1.2741408E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_19,34.57972762645917,63.021356783919586,2010-05-19,1.2742272E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_21,38.24099431818186,57.71859296482412,2010-05-21,1.2744E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_25,36.798606811145525,27.5640703517588,2010-05-25,1.2747456E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_26,36.037346938775535,17.51256281407035,2010-05-26,1.274832E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_30,41.89452261306536,65.0,2010-05-30,1.2751776E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_01,36.411271076524024,63.021356783919586,2010-06-01,1.2753504E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_06,33.08540201005028,65.0,2010-06-06,1.2757824E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_08,34.690705882352965,62.54648241206029,2010-06-08,1.2759552E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_09,32.9076381909548,65.0,2010-06-09,1.2760416E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_10,29.479898989899006,33.34170854271357,2010-06-10,1.276128E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_11,28.874828767123326,48.22110552763818,2010-06-11,1.2762144E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_20,32.02630653266335,65.0,2010-06-20,1.276992E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_22,25.950000000000045,25.1105527638191,2010-06-22,1.2771648E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_24,30.139779507133618,63.021356783919586,2010-06-24,1.2773376E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_26,30.604371859296517,18.863065326633162,2010-06-26,1.2775104E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_29,30.696658291457307,65.0,2010-06-29,1.2777696E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_03,33.85854271356788,0.0,2010-07-03,1.2781152E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_04,28.287516339869324,62.54648241206029,2010-07-04,1.2782016E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_06,33.59319095477389,34.2964824120603,2010-07-06,1.2783744E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_10,26.710000000000036,11.497487437185928,2010-07-10,1.27872E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_12,29.817261306532693,65.0,2010-07-12,1.2788928E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_14,18.708994974874397,129.0,2010-07-14,1.2790656E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_19,29.42007537688446,65.0,2010-07-19,1.2794976E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_20,36.18643216080406,0.0,2010-07-20,1.279584E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_24,38.2448492462312,9.97361809045226,2010-07-24,1.2799296E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_29,39.05138190954778,0.0,2010-07-29,1.2803616E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_02,40.63909547738696,0.0,2010-08-02,1.2807072E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_04,33.422688442211104,65.0,2010-08-04,1.28088E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_10,33.58261306532665,65.0,2010-08-10,1.2813984E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_13,38.41660804020105,0.0,2010-08-13,1.2816576E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_15,37.80243718592968,0.0,2010-08-15,1.2818304E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_16,35.456907514450904,56.768844221105525,2010-08-16,1.2819168E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_18,33.450000000000045,45.29271356783919,2010-08-18,1.2820896E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_19,34.376457286432185,65.0,2010-08-19,1.282176E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_25,45.3529396984925,5.4459798994974875,2010-08-25,1.2826944E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_26,39.92816582914576,0.0,2010-08-26,1.2827808E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_27,36.75819714656294,63.021356783919586,2010-08-27,1.2828672E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_28,35.44095477386936,65.0,2010-08-28,1.2829536E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_30,43.043894472361835,0.0,2010-08-30,1.2831264E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_01,37.606986301369886,48.22110552763818,2010-09-01,1.2832992E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_03,33.24031791907518,56.768844221105525,2010-09-03,1.283472E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_05,44.645653266331706,0.0,2010-09-05,1.2836448E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_06,45.010502512562844,0.0,2010-09-06,1.2837312E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_08,37.23589147286824,12.209798994974873,2010-09-08,1.283904E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_10,45.67914572864326,0.0,2010-09-10,1.2840768E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_11,38.784221105527685,65.0,2010-09-11,1.2841632E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_12,35.47000000000003,3.9786432160804015,2010-09-12,1.2842496E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
