Data Medicao,Hora Medicao,TX,LST_Celsius
2008-05-03,1200,24.8,30.923750000000023
2008-05-04,1200,25.5,36.45046017699117
2008-05-06,1200,23.4,34.8634422110553
2008-05-08,1200,24.8,28.442808988764064
2008-05-18,1200,22.6,28.335115606936444
2008-05-19,1200,23.6,23.607735849056617
2008-05-21,1200,24.0,24.01190954773872
2008-05-22,1200,24.4,28.14416413373864
2008-05-24,1200,24.3,26.69311557788947
2008-05-25,1200,23.7,28.68434673366837
2008-05-27,1200,23.4,27.819457364341098
2008-05-28,1200,23.2,28.33620603015078
2008-05-29,1200,23.2,27.110000000000017
2008-06-02,1200,22.1,23.627758985200888
2008-06-07,1200,24.3,29.442989949748775
2008-06-09,1200,24.1,25.34016491754126
2008-06-11,1200,23.0,29.519447236180923
2008-06-13,1200,23.5,25.121084967320275
2008-06-14,1200,22.3,31.696938053097373
2008-06-19,1200,22.7,30.066071922544975
2008-06-20,1200,21.8,25.64254335260117
2008-06-21,1200,22.0,22.950000000000045
2008-06-22,1200,22.9,28.50934673366838
2008-06-23,1200,24.4,34.46967336683421
2008-06-27,1200,22.7,31.66394472361811
2008-06-28,1200,23.3,26.29497487437189
2008-07-05,1200,24.2,33.659798994974906
2008-07-11,1200,22.7,22.141558073654412
2008-07-14,1200,22.5,34.944924623115604
2008-07-20,1200,22.3,26.29000000000002
2008-07-25,1200,23.6,33.64263819095479
2008-07-28,1200,22.8,29.313780487804905
2008-07-29,1200,23.2,34.81620603015078
2008-07-31,1200,23.6,28.62352739726031
2008-08-01,1200,22.6,33.94228758169937
2008-08-03,1200,22.6,33.44947236180907
2008-08-05,1200,23.7,29.385201005025145
2008-08-08,1200,22.1,29.15713178294576
2008-08-09,1200,23.0,26.95733031674212
2008-08-10,1200,22.7,33.95188442211059
2008-08-12,1200,22.6,30.957261306532686
2008-08-14,1200,22.6,34.83347712418302
2008-08-15,1200,23.7,33.42510050251259
2008-08-19,1200,22.2,32.41791457286436
2008-08-23,1200,23.7,36.42020100502516
2008-08-25,1200,23.1,35.51834170854275
2008-08-26,1200,24.0,36.51924242424247
2008-08-28,1200,23.7,33.30680904522615
2008-08-30,1200,24.6,38.5959798994975
2008-08-31,1200,24.5,40.37522613065329
2008-09-02,1200,23.2,34.476355382620014
2008-09-05,1200,23.5,37.94198492462315
2008-09-06,1200,25.2,40.79489949748747
2008-09-09,1200,22.1,32.13000000000005
2008-09-11,1200,24.1,33.13558225508321
2008-09-13,1200,25.4,40.14763819095481
2008-09-14,1200,24.8,39.72135678391963
2008-09-15,1200,24.0,38.08560301507541
2008-09-16,1200,25.8,42.447914572864335
2008-09-17,1200,24.9,35.687085427135706
2008-09-18,1200,24.7,45.11994974874375
2008-09-20,1200,25.5,38.46708542713572
2008-09-22,1200,24.9,44.76359296482414
2008-09-23,1200,25.4,45.58557788944727
2008-09-24,1200,25.5,44.29798994974877
2008-09-25,1200,26.4,41.996180904522646
2008-09-26,1200,25.3,38.84698492462313
2008-09-27,1200,24.7,42.36258793969853
2008-09-29,1200,28.0,46.12261306532666
2008-09-30,1200,27.3,36.92053254437872
2008-10-01,1200,26.7,44.1504773869347
2008-10-02,1200,25.9,43.20060301507541
2008-10-03,1200,26.8,35.429472361809076
2008-10-04,1200,26.6,34.783888888888924
2008-10-06,1200,24.9,47.356206030150794
2008-10-11,1200,25.3,44.110175879397026
2008-10-13,1200,26.3,36.70951219512199
2008-10-17,1200,26.4,44.18620603015077
2008-10-19,1200,25.8,36.06381909547741
2008-10-20,1200,26.8,43.27419597989953
2008-10-22,1200,27.6,38.011705426356606
2008-10-24,1200,26.0,42.10484967320263
2008-10-25,1200,27.9,40.34804020100506
2008-10-26,1200,27.1,41.650000000000034
2008-10-27,1200,27.5,52.11057788944727
2008-10-28,1200,27.2,39.14695979899501
2008-10-29,1200,26.4,48.48708542713571
2008-10-31,1200,26.6,48.22266331658296
2008-11-01,1200,25.9,46.42932160804022
2008-11-03,1200,26.7,42.733291457286455
2008-11-04,1200,27.2,43.48261306532667
2008-11-05,1200,27.5,38.55366477272731
2008-11-07,1200,26.7,48.0811557788945
2008-11-08,1200,27.5,44.86683417085428
2008-11-09,1200,27.2,43.02077889447238
2008-11-11,1200,27.5,41.2386681715576
2008-11-12,1200,26.2,49.19168341708545
2008-11-13,1200,26.8,39.33243718592967
2008-11-14,1200,26.6,44.916356821589254
2008-11-16,1200,27.7,42.00530612244901
2008-11-17,1200,27.9,45.51609375000002
2008-11-19,1200,27.5,49.31665829145731
2008-11-20,1200,26.9,45.32012562814073
2008-11-21,1200,25.9,50.4546733668342
2008-11-23,1200,27.4,47.65587939698494
2008-11-27,1200,26.9,42.1886180904523
2008-11-28,1200,26.8,50.10457286432163
2008-11-29,1200,27.1,37.078871595330774
2008-11-30,1200,28.4,48.5026035502959
2008-12-02,1200,27.4,35.28776908023487
2008-12-04,1200,28.1,47.56849246231159
2008-12-05,1200,28.4,50.49552763819098
2008-12-06,1200,26.9,42.60582914572868
