Data Medicao,TX,LST_Celsius
2007-08-26,27.15,42.42095477386938
2007-08-28,27.65,45.95437185929651
2007-08-29,25.9,44.38959798994977
2007-09-13,25.95,43.90236180904526
2007-09-20,27.75,47.71005025125631
2007-09-22,28.05,44.31060301507541
2007-09-25,26.85,50.316432160804055
2007-10-13,28.5,48.528241206030174
2007-10-14,28.0,46.11042713567842
2007-10-15,27.45,48.17879396984927
2007-10-17,27.45,46.493391959799034
2007-10-18,29.6,54.30859296482414
2007-10-20,29.0,50.937638190954814
2007-10-27,28.7,50.586356783919626
2007-10-29,29.7,49.63859296482415
2007-11-02,30.05,45.733718592964856
2007-11-07,29.75,48.00015075376888
2007-11-08,29.9,48.44884422110556
2007-11-09,28.6,46.50773869346735
2007-11-12,29.3,52.65618090452263
2007-11-26,28.85,51.24334170854274
2007-12-01,28.4,46.59902010050254
2007-12-20,29.9,47.52489949748747
2007-12-24,29.15,48.18582914572868
2008-01-06,29.7,53.31497487437188
2008-01-09,29.7,48.858668341708565
2008-01-19,29.1,49.13685929648244
2008-02-02,28.5,49.31881909547742
2008-02-04,30.3,50.625753768844255
2008-03-07,28.7,44.89005025125631
2008-03-17,25.8,38.40301507537692
2008-05-28,24.85,28.33620603015078
2008-06-22,25.5,28.50934673366838
2008-06-27,24.9,31.66394472361811
2008-07-14,24.3,34.944924623115604
2008-07-29,25.35,34.81620603015078
2008-08-15,25.55,33.42510050251259
2008-08-23,26.7,36.42020100502516
2008-08-30,27.25,38.5959798994975
2008-09-06,28.1,40.79489949748747
2008-09-14,26.9,39.72135678391963
2008-09-16,27.8,42.447914572864335
2008-09-18,27.35,45.11994974874375
2008-09-22,27.85,44.76359296482414
2008-09-23,28.2,45.58557788944727
2008-09-24,29.25,44.29798994974877
2008-09-26,27.85,38.84698492462313
2008-09-27,26.65,42.36258793969853
2008-10-01,29.35,44.1504773869347
2008-10-31,29.35,48.22266331658296
2008-11-01,28.85,46.42932160804022
2008-11-04,30.45,43.48261306532667
2008-11-07,30.0,48.0811557788945
2008-11-12,29.3,49.19168341708545
2008-11-20,30.25,45.32012562814073
2008-11-21,29.15,50.4546733668342
2008-11-27,29.35,42.1886180904523
2008-11-28,30.1,50.10457286432163
2008-12-04,30.55,47.56849246231159
2008-12-05,31.1,50.49552763819098
2008-12-06,30.5,42.60582914572868
2008-12-15,29.6,44.75439698492465
2009-01-14,29.9,48.8977638190955
2009-02-08,28.85,42.412135678391984
2009-05-09,26.35,33.60180904522616
2009-07-11,25.9,29.52429648241209
2009-07-18,25.75,33.194195979899526
2009-08-22,27.7,40.56590452261309
2009-09-01,26.6,36.44763819095481
2009-09-04,27.1,35.90334170854274
2009-09-05,27.5,42.03497487437188
2009-09-19,28.95,44.22085427135683
2009-09-24,27.7,41.39391959798997
2009-09-25,28.55,44.830226130653294
2009-09-26,27.8,41.88070351758796
2009-09-29,28.25,37.49095477386936
2009-10-02,28.9,46.14020100502516
2009-10-03,29.35,43.62758793969852
2009-10-07,29.55,48.45296482412063
2009-10-30,29.15,45.62527638190958
2009-11-01,29.7,45.072060301507555
2009-11-07,29.95,41.729447236180945
2009-11-26,29.8,48.68055276381913
2009-12-15,29.65,46.40660804020104
2009-12-19,29.65,48.221256281407065
2010-03-13,30.25,48.62600502512567
2010-03-23,29.05,46.162914572864345
2010-03-25,30.6,44.08643216080404
2010-05-01,29.0,39.6470854271357
2010-05-07,29.05,39.291733668341735
2010-05-09,28.35,37.30763819095481
2010-07-03,25.55,33.85854271356788
2010-07-20,26.25,36.18643216080406
2010-07-29,26.45,39.05138190954778
2010-08-02,26.7,40.63909547738696
2010-08-13,26.7,38.41660804020105
2010-08-15,27.65,37.80243718592968
2010-08-26,27.4,39.92816582914576
2010-08-30,26.9,43.043894472361835
2010-09-05,27.2,44.645653266331706
2010-09-06,26.45,45.01050251256285
2010-09-10,27.4,45.67914572864326
2010-09-16,27.65,40.1878140703518
2010-09-28,28.25,46.24768844221107
2010-09-29,30.2,49.38582914572866
2010-09-30,29.0,45.87216080402013
2010-10-01,29.45,50.83080402010052
2010-10-02,29.45,42.03311557788946
2010-10-05,28.6,47.86185929648243
2010-10-06,29.7,48.507135678392
2010-10-07,29.5,48.193015075376906
2010-10-08,29.25,48.688668341708585
2010-10-09,29.95,46.36231155778896
2010-10-12,29.85,49.21007537688444
2010-10-15,29.75,47.25092964824122
2010-11-02,29.45,46.626080402010075
2010-11-03,28.75,38.96831658291459
2010-11-04,28.25,42.99540201005027
2010-11-08,28.9,40.28522613065329
2010-11-09,28.2,42.725477386934706
2010-11-13,28.85,42.61052763819098
2010-11-18,28.45,47.25505025125632
2010-11-27,29.5,49.47077889447237
2010-12-26,28.35,39.0241206030151
2010-12-27,27.65,41.51361809045228
2010-12-28,28.25,37.040502512562846
2011-02-10,28.3,39.9200502512563
2011-02-24,27.55,38.974723618090486
2011-03-05,28.0,36.343542713567864
2011-03-17,28.65,40.49404522613067
2011-03-18,28.05,35.980527638190985
2011-03-19,28.6,42.07713567839198
2011-03-23,29.25,42.11640703517592
2011-03-30,28.0,39.635879396984954
2011-04-01,27.65,37.50261306532666
2011-04-02,28.55,40.06575376884425
2011-04-06,28.2,42.41731155778897
2011-06-14,25.35,36.091532663316606
2011-06-20,27.4,34.22092964824123
2011-06-27,25.35,34.348542713567866
2011-08-02,25.1,33.02314070351763
2011-08-03,25.8,39.23472361809048
2011-08-05,26.3,38.28829145728646
2011-08-07,25.35,36.06231155778899
2011-08-12,25.9,38.65216080402013
2011-09-06,26.8,44.03015075376888
